ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
80.934	3.038	30.102	15.57	1	15	402	180	5	87	45	22	3	29	15	16	796	0	17.936273097991943	8000	277.840619802475	4371	45.3625	
77.926	3.036	30.044	15.54	1	16	410	180	5	87	45	22	3	29	15	15	815	0	18.217503786087036	8500	296.058123588562	4575	46.1764705882353	
79.272	3.04	30.16	15.6	1	17	416	180	5	87	45	22	3	29	15	17	836	0	18.46749520301819	9000	314.5256187915802	4799	46.67777777777778	
80.924	3.062	30.798	15.93	2	18	422	180	5	87	45	22	3	29	15	20	853	0	19.092444896697998	9500	333.6180636882782	5012	47.242105263157896	
83.732	3.086	31.494	16.29	2	19	429	180	5	87	45	22	3	29	15	30	891	0	19.07681131362915	10000	352.69487500190735	5223	47.77	
86.042	3.154	33.466	17.31	3	20	433	180	5	87	45	22	3	29	15	53	911	0	19.57678484916687	10500	372.2716598510742	5477	47.838095238095235	
90.814	3.3	37.7	19.5	1	21	438	180	5	87	45	22	3	29	15	91	931	0	19.90489959716797	11000	392.1765594482422	5789	47.372727272727275	
94.552	3.492	43.268	22.38	1	22	443	180	5	87	45	22	3	29	15	149	963	0	18.764329195022583	11500	410.94088864326477	6168	46.36521739130435	
99.37	3.744	50.576	26.16	1	23	447	157	5	87	45	22	3	29	15	225	992	0	19.217435598373413	12000	430.1583242416382	6580	45.166666666666664	
105.932	4.048	59.392	30.72	1	24	447	157	5	87	45	45	3	29	15	319	1008	0	18.483120918273926	12500	448.6414451599121	7025	43.8	
109.68	4.154	62.466	32.31	1	25	450	112	5	87	45	45	4	58	30	350	1031	0	17.311315536499023	13000	465.95276069641113	7450	42.69230769230769	
108.922	4.124	61.596	31.86	1	26	452	112	5	87	45	45	4	58	30	367	1062	0	16.62386417388916	13500	482.5766248703003	7886	41.58518518518518	
109.012	4.032	58.928	30.48	1	27	453	112	5	87	45	45	4	58	30	341	1083	0	16.514485597610474	14000	499.09111046791077	8323	40.55	
109.816	4.046	59.334	30.69	1	28	453	112	5	87	45	45	4	58	30	344	1117	0	16.42076301574707	14500	515.5118734836578	8754	39.627586206896545	
110.084	4.07	60.03	31.05	1	29	454	112	5	87	45	45	4	58	30	315	1147	0	16.905091047286987	15000	532.4169645309448	9190	38.733333333333334	
110.574	4.136	61.944	32.04	2	30	455	112	5	87	45	45	4	58	30	303	1181	0	16.608238458633423	15500	549.0252029895782	9625	37.903225806451616	
110.932	4.246	65.134	33.69	1	31	456	112	5	87	45	45	4	58	30	333	1213	0	16.18638253211975	16000	565.211585521698	10074	37.0375	
111.378	4.4	69.6	36.0	1	32	458	112	5	87	45	45	4	58	30	368	1261	0	16.545743465423584	16500	581.7573289871216	10500	36.36363636363637	
111.468	4.498	72.442	37.47	1	33	458	112	5	87	45	45	4	58	30	433	1320	0	16.983214616775513	17000	598.7405436038971	10917	35.78235294117647	
111.736	4.424	70.296	36.36	1	34	458	112	5	87	45	90	4	58	30	431	1392	0	16.686367988586426	17500	615.4269115924835	11318	35.325714285714284	
111.736	4.136	61.944	32.04	1	35	458	112	5	87	45	90	4	58	30	420	1479	0	16.28012704849243	18000	631.707038640976	11701	34.99444444444444	
111.912	4.018	58.522	30.27	1	36	458	112	5	87	45	90	4	58	30	408	1548	0	16.6551194190979	18500	648.3621580600739	12087	34.66486486486487	
112.0	4.036	59.044	30.54	1	37	458	112	5	87	45	112	4	58	30	427	1621	0	17.061323881149292	19000	665.4234819412231	12486	34.28421052631579	
112.0	4.058	59.682	30.87	3	38	458	112	5	87	45	112	3	29	15	412	1682	0	17.38944411277771	19500	682.8129260540009	12889	33.9025641025641	
112.0	4.05	59.45	30.75	1	39	458	112	5	87	45	112	4	58	30	410	1736	0	16.998828172683716	20000	699.8117542266846	13306	33.47	
112.0	4.06	59.74	30.9	1	40	458	112	5	87	45	112	4	58	30	392	1793	0	16.85822296142578	20500	716.6699771881104	13708	33.131707317073165	
112.0	4.094	60.726	31.41	1	41	458	112	5	87	45	112	4	58	30	388	1850	0	17.623802661895752	21000	734.2937798500061	14115	32.78571428571428	
112.0	4.102	60.958	31.53	1	42	458	112	5	87	45	112	4	58	30	390	1913	0	16.405129194259644	21500	750.6989090442657	14519	32.46976744186047	
112.0	4.104	61.016	31.56	1	43	458	112	5	87	45	112	4	58	30	388	1967	0	16.93634009361267	22000	767.6352491378784	14917	32.19545454545455	
112.0	4.072	60.088	31.08	1	44	458	112	5	87	45	112	4	58	30	358	2016	0	16.76446795463562	22500	784.399717092514	15324	31.89333333333333	
112.0	4.076	60.204	31.14	1	45	458	112	5	87	45	112	4	58	30	333	2086	0	16.811360359191895	23000	801.2110774517059	15718	31.660869565217382	
112.0	4.068	59.972	31.02	1	46	458	112	5	87	45	112	4	58	30	299	2142	0	16.936342000961304	23500	818.1474194526672	16121	31.39999999999999	
112.0	4.026	58.754	30.39	1	47	458	112	5	87	45	112	4	58	30	276	2209	0	16.373870372772217	24000	834.5212898254395	16514	31.191666666666663	
112.0	4.028	58.812	30.42	2	48	458	112	5	87	45	112	4	58	30	283	2263	0	16.873844385147095	24500	851.3951342105865	16920	30.93877551020408	
112.0	4.024	58.696	30.36	1	49	458	112	5	87	45	112	4	58	30	272	2317	0	16.889480113983154	25000	868.2846143245697	17323	30.708	
112.0	4.024	58.696	30.36	1	50	458	112	5	87	45	112	4	58	30	271	2371	0	16.92070770263672	25500	885.2053220272064	17716	30.525490196078437	
112.0	4.018	58.522	30.27	1	51	458	112	5	87	45	112	4	58	30	279	2441	0	16.12390661239624	26000	901.3292286396027	18100	30.384615384615387	
112.0	4.018	58.522	30.27	1	52	458	112	5	87	45	112	4	58	30	262	2516	0	16.18639302253723	26500	917.5156216621399	18477	30.275471698113208	
112.0	4.024	58.696	30.36	1	53	458	112	5	87	45	112	4	58	30	264	2587	0	17.280512809753418	27000	934.7961344718933	18867	30.12222222222222	
112.0	4.03	58.87	30.45	1	54	458	112	5	87	45	112	4	58	30	266	2660	0	16.358256340026855	27500	951.1543908119202	19259	29.96727272727273	
112.0	4.036	59.044	30.54	1	55	458	112	5	87	45	112	4	58	30	272	2721	0	16.38950252532959	28000	967.5438933372498	19662	29.77857142857144	
112.0	4.044	59.276	30.66	1	56	458	112	5	87	45	112	4	58	30	285	2776	0	16.701982975006104	28500	984.2458763122559	20062	29.607017543859655	
112.0	4.05	59.45	30.75	1	57	458	112	5	87	45	112	4	58	30	285	2831	0	16.10827398300171	29000	1000.3541502952576	20462	29.44137931034483	
112.0	4.054	59.566	30.81	1	58	458	112	5	87	45	112	4	58	30	287	2900	0	16.639495372772217	29500	1016.9936456680298	20854	29.30847457627118	
112.0	4.064	59.856	30.96	1	59	458	112	5	87	45	112	4	58	30	286	2969	0	16.389493942260742	30000	1033.3831396102905	21257	29.14333333333333	
112.0	4.084	60.436	31.26	1	60	458	112	5	87	45	112	4	58	30	284	3034	0	15.998906373977661	30500	1049.3820459842682	21657	28.99344262295081	
112.0	4.074	60.146	31.11	1	61	458	112	5	87	45	112	4	58	30	286	3095	0	17.108213663101196	31000	1066.4902596473694	22068	28.81290322580645	
112.0	4.082	60.378	31.23	2	62	458	112	5	87	45	112	4	58	30	241	3161	0	16.858222484588623	31500	1083.348482131958	22454	28.717460317460322	
112.0	4.07	60.03	31.05	5	63	458	112	5	87	45	112	4	58	30	225	3225	0	16.62385368347168	32000	1099.9723358154297	22855	28.578125	
112.0	4.056	59.624	30.84	2	64	458	112	5	87	45	112	4	58	30	186	3301	0	16.57699966430664	32500	1116.5493354797363	23235	28.50769230769231	
112.0	4.032	58.928	30.48	6	65	458	112	5	87	45	112	4	58	30	146	3362	0	16.748854398727417	33000	1133.2981898784637	23641	28.36060606060606	
112.0	4.032	58.928	30.48	10	66	458	112	5	87	45	112	4	58	30	160	3441	0	16.795717477798462	33500	1150.0939073562622	24027	28.277611940298513	
112.0	4.026	58.754	30.39	19	67	458	112	5	87	45	112	4	58	30	161	3505	0	16.71760630607605	34000	1166.8115136623383	24430	28.14705882352942	
112.0	4.014	58.406	30.21	1	68	458	112	5	87	45	112	4	58	30	143	3558	0	17.045708179473877	34500	1183.8572218418121	24824	28.0463768115942	
112.0	4.014	58.406	30.21	1	69	458	112	5	87	45	112	4	58	30	145	3625	0	16.420761585235596	35000	1200.2779834270477	25220	27.94285714285715	
112.0	4.01	58.29	30.15	3	70	458	112	5	87	45	112	4	58	30	118	3696	0	16.920707941055298	35500	1217.198691368103	25613	27.850704225352104	
112.0	4.014	58.406	30.21	9	71	458	112	5	87	45	112	4	58	30	88	3770	0	16.811359167099	36000	1234.010050535202	25992	27.799999999999997	
112.0	4.018	58.522	30.27	17	72	458	112	5	87	45	112	4	58	30	65	3840	0	16.498862743377686	36500	1250.5089132785797	26374	27.742465753424668	
112.0	4.016	58.464	30.24	1	73	458	112	5	87	45	112	4	58	30	41	3913	0	17.623793363571167	37000	1268.1327066421509	26750	27.702702702702695	
112.0	4.03	58.87	30.45	2	74	458	112	5	87	45	112	4	58	30	35	3975	0	17.905025959014893	37500	1286.0377326011658	27147	27.608000000000004	
112.0	4.042	59.218	30.63	4	75	458	112	5	87	45	112	4	58	30	23	4042	0	18.264384508132935	38000	1304.3021171092987	27530	27.55263157894737	
112.0	4.056	59.624	30.84	7	76	458	112	5	87	45	112	4	58	30	29	4099	0	17.65504240989685	38500	1321.9571595191956	27931	27.45194805194805	
112.0	4.072	60.088	31.08	1	77	458	112	5	87	45	112	4	58	30	42	4166	0	18.108126163482666	39000	1340.0652856826782	28320	27.384615384615387	
112.0	4.082	60.378	31.23	3	78	458	112	5	87	45	112	4	58	30	54	4248	0	17.37382173538208	39500	1357.4391074180603	28705	27.32911392405063	
112.0	4.09	60.61	31.35	8	79	458	112	5	87	45	112	4	58	30	59	4318	0	17.295692205429077	40000	1374.7347996234894	29090	27.275000000000006	
112.0	4.072	60.088	31.08	18	80	458	112	5	87	45	112	4	58	30	59	4374	0	18.248751163482666	40500	1392.983550786972	29489	27.187654320987647	
112.0	4.106	61.074	31.59	30	81	458	112	5	87	45	112	4	58	30	80	4431	0	17.733153343200684	41000	1410.7167041301727	29895	27.085365853658544	
112.0	4.146	62.234	32.19	51	82	458	112	5	87	45	112	4	58	30	98	4486	0	17.155075550079346	41500	1427.871779680252	30296	26.997590361445774	
112.0	4.142	62.118	32.13	1	83	458	112	5	87	45	112	4	58	30	82	4557	0	16.920727252960205	42000	1444.7925069332123	30698	26.909523809523805	
112.0	4.17	62.93	32.55	1	84	458	112	5	87	45	112	4	58	30	78	4633	0	16.983214139938354	42500	1461.7757210731506	31087	26.85411764705883	
112.0	4.142	62.118	32.13	1	85	458	112	5	87	45	112	4	58	30	64	4691	0	17.3269305229187	43000	1479.1026515960693	31477	26.797674418604657	
112.0	4.146	62.234	32.19	1	86	458	112	5	87	45	112	4	58	30	64	4761	0	17.764418125152588	43500	1496.867069721222	31864	26.749425287356317	
112.0	4.06	59.74	30.9	3	87	458	112	5	87	45	112	4	58	30	29	4828	0	18.201879739761353	44000	1515.0689494609833	32252	26.700000000000003	
112.0	4.072	60.088	31.08	6	88	459	112	5	87	45	112	4	58	30	23	4899	0	19.279921770095825	44500	1534.348871231079	32625	26.68539325842697	
112.0	4.13	61.77	31.95	15	89	459	112	5	87	45	112	4	58	30	38	4967	0	18.889342069625854	45000	1553.238213300705	33014	26.635555555555555	
112.0	4.214	64.206	33.21	1	90	460	112	5	87	45	112	4	58	30	57	5023	0	18.139389038085938	45500	1571.377602338791	33432	26.52307692307693	
112.0	4.312	67.048	34.68	1	91	460	112	5	87	45	112	4	58	30	83	5083	0	18.23311495780945	46000	1589.6107172966003	33848	26.41739130434783	
112.0	4.392	69.368	35.88	2	92	460	112	5	87	45	112	4	58	30	105	5156	0	17.78003191947937	46500	1607.3907492160797	34247	26.350537634408596	
112.0	4.456	71.224	36.84	4	93	460	112	5	87	45	112	4	58	30	121	5219	0	17.155086517333984	47000	1624.5458357334137	34653	26.27021276595744	
112.0	4.502	72.558	37.53	10	94	460	112	5	87	45	112	4	58	30	134	5287	0	17.061333417892456	47500	1641.6071691513062	35042	26.22736842105263	
112.0	4.39	69.31	35.85	19	95	460	112	5	87	45	112	4	58	30	101	5353	0	17.420682668685913	48000	1659.027851819992	35432	26.183333333333337	
112.0	4.202	63.858	33.03	44	96	460	112	5	87	45	112	4	58	30	72	5413	0	17.85815405845642	48500	1676.8860058784485	35828	26.127835051546384	
112.0	4.094	60.726	31.41	1	97	460	112	5	87	45	112	4	58	30	44	5470	0	17.920639514923096	49000	1694.8066453933716	36218	26.08571428571429	
112.0	4.11	61.19	31.65	1	98	460	112	5	87	45	112	4	58	30	55	5535	0	18.139393091201782	49500	1712.9460384845734	36599	26.062626262626267	
112.0	4.126	61.654	31.89	1	99	460	112	5	87	45	112	4	58	30	60	5589	0	18.014384031295776	50000	1730.9604225158691	36991	26.018	
112.0	4.132	61.828	31.98	1	100	460	112	5	87	45	112	4	58	30	65	5643	0	17.54567313194275	50500	1748.506095647812	37385	25.970297029702976	
112.0	4.034	58.986	30.51	1	101	460	112	5	87	45	112	4	58	30	30	5711	0	18.18625807762146	51000	1766.6923537254333	37766	25.94901960784314	
112.0	4.054	59.566	30.81	1	102	460	112	5	87	45	112	4	58	30	39	5769	0	18.529991626739502	51500	1785.2223453521729	38157	25.908737864077665	
112.0	4.102	60.958	31.53	2	103	460	112	5	87	45	112	4	58	30	69	5832	0	17.780033349990845	52000	1803.0023787021637	38535	25.89423076923076	
112.0	4.128	61.712	31.92	2	104	460	112	5	87	45	112	4	58	30	114	5894	0	18.404990196228027	52500	1821.4073688983917	38914	25.878095238095227	
112.0	4.154	62.466	32.31	2	105	460	112	5	87	45	112	4	58	30	151	5965	0	17.07695722579956	53000	1838.4843261241913	39294	25.860377358490567	
112.0	4.168	62.872	32.52	1	106	460	112	5	87	45	112	4	58	30	194	6044	0	17.04569911956787	53500	1855.5300252437592	39662	25.865420560747665	
112.0	4.186	63.394	32.79	1	107	460	112	5	87	45	112	4	58	30	237	6122	0	16.466484785079956	54000	1871.996510028839	40024	25.881481481481487	
112.0	4.126	61.654	31.89	1	108	460	112	5	87	45	112	4	58	30	241	6200	0	16.38950514793396	54500	1888.386015176773	40402	25.867889908256885	
112.0	4.112	61.248	31.68	1	109	460	112	5	87	45	112	4	58	30	249	6281	0	16.4207501411438	55000	1904.8067653179169	40772	25.869090909090914	
112.0	4.122	61.538	31.83	1	110	460	112	5	87	45	112	4	58	30	258	6354	0	17.06133460998535	55500	1921.8680999279022	41155	25.846846846846844	
112.0	4.14	62.06	32.1	1	111	460	112	5	87	45	112	4	58	30	268	6435	0	16.780111074447632	56000	1938.6482110023499	41519	25.858928571428578	
112.0	4.118	61.422	31.77	1	112	460	112	5	87	45	112	4	58	30	247	6511	0	16.54573392868042	56500	1955.1939449310303	41904	25.83362831858406	
112.0	4.14	62.06	32.1	1	113	460	112	5	87	45	112	4	58	30	269	6592	0	16.530128240585327	57000	1971.7240731716156	42286	25.814035087719304	
112.0	4.146	62.234	32.19	1	114	460	112	5	87	45	112	4	58	30	266	6662	0	16.74885392189026	57500	1988.4729270935059	42676	25.780869565217387	
112.0	4.17	62.93	32.55	1	115	460	112	5	87	45	112	4	58	30	281	6743	0	16.436375617980957	58000	2004.9093027114868	43048	25.779310344827593	
112.0	4.19	63.51	32.85	1	116	460	112	5	87	45	112	4	58	30	302	6815	0	16.68635892868042	58500	2021.5956616401672	43437	25.748717948717953	
112.0	4.208	64.032	33.12	1	117	460	112	5	87	45	112	4	58	30	317	6900	0	16.436375617980957	59000	2038.0320372581482	43823	25.72372881355932	
112.0	4.208	64.032	33.12	1	118	460	112	5	87	45	112	4	58	30	325	6969	0	15.920786142349243	59500	2053.9528234004974	44213	25.692436974789914	
112.0	4.212	64.148	33.18	1	119	460	112	5	87	45	112	4	58	30	316	7039	0	16.545742988586426	60000	2070.498566389084	44612	25.64666666666666	
112.0	4.222	64.438	33.33	1	120	460	112	5	87	45	112	4	58	30	332	7106	0	16.498862743377686	60500	2086.9974291324615	45005	25.611570247933884	
112.0	4.228	64.612	33.42	1	121	460	112	5	87	45	112	4	58	30	331	7167	0	17.061331033706665	61000	2104.058760166168	45410	25.55737704918033	
112.0	4.234	64.786	33.51	1	122	460	112	5	87	45	112	4	58	30	324	7233	0	17.0221848487854	61500	2121.0809450149536	45813	25.507317073170725	
112.0	4.262	65.598	33.93	1	123	460	112	5	87	45	112	4	58	30	322	7300	0	16.826973915100098	62000	2137.9079189300537	46218	25.454838709677418	
112.0	4.274	65.946	34.11	1	124	460	112	5	87	45	112	4	58	30	326	7379	0	16.280125617980957	62500	2154.1880445480347	46604	25.4336	
112.0	4.298	66.642	34.47	1	125	460	112	5	87	45	112	4	58	30	324	7443	0	15.936420917510986	63000	2170.1244654655457	47009	25.382539682539687	
112.0	4.284	66.236	34.26	1	126	460	112	5	87	45	112	4	58	30	313	7515	0	17.498802661895752	63500	2187.6232681274414	47403	25.349606299212596	
112.0	4.292	66.468	34.38	1	127	460	112	5	87	45	112	4	58	30	310	7586	0	16.10826349258423	64000	2203.7315316200256	47808	25.299999999999997	
112.0	4.284	66.236	34.26	1	128	460	112	5	87	45	112	4	58	30	313	7674	0	15.967666625976562	64500	2219.699198246002	48191	25.285271317829455	
112.0	4.26	65.54	33.9	1	129	460	112	5	87	45	112	4	58	30	310	7755	0	17.420674800872803	65000	2237.119873046875	48575	25.26923076923076	
112.0	4.29	66.41	34.35	1	130	460	112	5	87	45	112	4	58	30	315	7826	0	17.608169555664062	65500	2254.728042602539	48970	25.236641221374043	
112.0	4.298	66.642	34.47	1	131	460	112	5	87	45	112	4	58	30	316	7888	0	17.045709133148193	66000	2271.7737517356873	49376	25.187878787878788	
112.0	4.36	68.44	35.4	1	132	460	112	5	87	45	112	4	58	30	336	7984	0	16.09265112876892	66500	2287.866402864456	49755	25.180451127819552	
112.0	4.452	71.108	36.78	1	133	460	112	5	87	45	112	4	58	30	352	8052	0	16.545743703842163	67000	2304.4121465682983	50167	25.12388059701493	
112.0	4.564	74.356	38.46	1	134	460	112	5	87	45	112	4	58	30	378	8134	0	16.88946771621704	67500	2321.3016142845154	50565	25.08888888888889	
112.0	4.65	76.85	39.75	1	135	460	112	5	87	45	112	4	58	30	392	8199	0	16.46762228012085	68000	2337.7692365646362	50977	25.033823529411762	
112.0	4.718	78.822	40.77	1	136	460	112	5	87	45	112	4	58	30	400	8274	0	17.030086755752563	68500	2354.799323320389	51389	24.979562043795625	
112.0	4.782	80.678	41.73	1	137	460	112	5	87	45	112	4	58	30	420	8355	0	16.061410903930664	69000	2370.8607342243195	51792	24.939130434782612	
112.0	4.808	81.432	42.12	1	138	460	112	5	87	45	112	4	58	30	424	8431	0	16.608238697052002	69500	2387.4689729213715	52203	24.88776978417266	
112.0	4.84	82.36	42.6	1	139	460	112	5	87	45	112	4	58	30	430	8524	0	16.280126810073853	70000	2403.7490997314453	52600	24.85714285714286	
112.0	4.872	83.288	43.08	1	140	460	112	5	87	45	112	4	58	30	423	8601	0	16.70199155807495	70500	2420.4510912895203	53004	24.81702127659574	
112.0	4.918	84.622	43.77	1	141	460	112	5	87	45	112	4	58	30	427	8678	0	16.498871564865112	71000	2436.9499628543854	53415	24.767605633802816	
112.0	4.96	85.84	44.4	1	142	460	112	5	87	45	112	4	58	30	440	8764	0	16.84259796142578	71500	2453.792560815811	53816	24.732867132867128	
112.0	4.98	86.42	44.7	1	143	460	112	5	87	45	112	4	58	30	445	8846	0	17.3894259929657	72000	2471.181986808777	54219	24.695833333333326	
112.0	4.984	86.536	44.76	1	144	460	112	5	87	45	112	4	58	30	449	8948	0	16.826974153518677	72500	2488.0089609622955	54603	24.6855172413793	
112.0	4.992	86.768	44.88	1	145	460	112	5	87	45	112	4	58	30	446	9037	0	17.061341524124146	73000	2505.0703024864197	54997	24.661643835616445	
112.0	4.996	86.884	44.94	1	146	460	112	5	87	45	112	4	58	30	441	9119	0	16.45199203491211	73500	2521.522294521332	55397	24.629931972789123	
112.0	4.996	86.884	44.94	1	147	460	112	5	87	45	112	4	58	30	435	9206	0	16.623870134353638	74000	2538.1461646556854	55794	24.6027027027027	
112.0	4.998	86.942	44.97	1	148	460	112	5	87	45	112	4	58	30	434	9304	0	16.514495372772217	74500	2554.6606600284576	56185	24.583892617449663	
112.0	5.0	87.0	45.0	1	149	460	112	5	87	45	112	5	87	45	426	9393	0	16.545734643936157	75000	2571.206394672394	56574	24.567999999999998	
112.0	5.0	87.0	45.0	1	150	460	112	5	87	45	112	5	87	45	427	9473	0	17.092580318450928	75500	2588.2989749908447	56981	24.528476821192058	
112.0	5.0	87.0	45.0	1	151	460	112	5	87	45	112	5	87	45	428	9563	0	16.811359405517578	76000	2605.1103343963623	57377	24.503947368421052	
112.0	5.0	87.0	45.0	1	152	460	112	5	87	45	112	5	87	45	429	9652	0	17.139442682266235	76500	2622.2497770786285	57777	24.474509803921578	
112.0	5.0	87.0	45.0	1	153	460	112	5	87	45	112	5	87	45	432	9753	0	16.98321294784546	77000	2639.232990026474	58162	24.464935064935062	
112.0	5.0	87.0	45.0	1	154	460	112	5	87	45	112	5	87	45	432	9828	0	16.748855113983154	77500	2655.981845140457	58573	24.421935483870968	
112.0	5.0	87.0	45.0	1	155	460	112	5	87	45	112	5	87	45	431	9902	0	16.87384605407715	78000	2672.8556911945343	58986	24.376923076923077	
112.0	5.0	87.0	45.0	1	156	460	112	5	87	45	112	5	87	45	432	9982	0	16.81135892868042	78500	2689.6670501232147	59391	24.342675159235668	
112.0	5.0	87.0	45.0	1	157	460	112	5	87	45	112	5	87	45	428	10063	0	17.030086994171143	79000	2706.697137117386	59797	24.307594936708867	
112.0	5.0	87.0	45.0	1	158	460	112	5	87	45	112	5	87	45	428	10148	0	16.65510058403015	79500	2723.352237701416	60198	24.279245283018867	
112.0	5.0	87.0	45.0	1	159	460	112	5	87	45	112	5	87	45	423	10214	0	16.467623233795166	80000	2739.819860935211	60617	24.228750000000005	
112.0	5.0	87.0	45.0	1	160	460	112	5	87	45	112	5	87	45	427	10287	0	17.139454126358032	80500	2756.959315061569	61032	24.183850931677014	
112.0	5.0	87.0	45.0	1	161	460	112	5	87	45	112	5	87	45	420	10392	0	16.65510892868042	81000	2773.6144239902496	61413	24.181481481481484	
112.0	5.0	87.0	45.0	1	162	460	112	5	87	45	112	5	87	45	417	10470	0	16.701991319656372	81500	2790.316415309906	61817	24.15092024539878	
112.0	5.0	87.0	45.0	2	163	460	112	5	87	45	112	5	87	45	419	10561	0	16.936341524124146	82000	2807.25275683403	62210	24.13414634146342	
112.0	5.0	87.0	45.0	1	164	460	112	5	87	45	112	5	87	45	414	10635	0	16.655101537704468	82500	2823.9078583717346	62623	24.093333333333334	
112.0	5.0	87.0	45.0	1	165	460	112	5	87	45	112	5	87	45	412	10709	0	15.873923063278198	83000	2839.781781435013	63036	24.05301204819277	
112.0	5.0	87.0	45.0	1	166	460	112	5	87	45	112	5	87	45	413	10785	0	16.701982259750366	83500	2856.483763694763	63441	24.022754491017963	
112.0	5.0	87.0	45.0	1	167	460	112	5	87	45	112	5	87	45	406	10858	0	16.295750617980957	84000	2872.779514312744	63845	23.99404761904762	
112.0	5.0	87.0	45.0	1	168	460	112	5	87	45	112	5	87	45	401	10938	0	16.48325753211975	84500	2889.262771844864	64244	23.9715976331361	
112.0	5.0	87.0	45.0	1	169	460	112	5	87	45	112	5	87	45	401	11012	0	16.82697367668152	85000	2906.0897455215454	64652	23.938823529411764	
112.0	5.0	87.0	45.0	2	170	460	112	5	87	45	112	5	87	45	397	11081	0	16.561359882354736	85500	2922.6511054039	65064	23.901754385964907	
112.0	5.0	87.0	45.0	2	171	460	112	5	87	45	112	5	87	45	396	11135	0	16.78010082244873	86000	2939.431206226349	65495	23.84302325581396	
112.0	5.0	87.0	45.0	1	172	460	112	5	87	45	112	5	87	45	393	11198	0	16.483245849609375	86500	2955.9144520759583	65915	23.797687861271683	
112.0	5.0	87.0	45.0	1	173	460	112	5	87	45	112	5	87	45	397	11272	0	16.49887251853943	87000	2972.4133245944977	66331	23.75747126436781	
112.0	5.0	87.0	45.0	1	174	460	112	5	87	45	112	5	87	45	396	11343	0	16.248897314071655	87500	2988.6622219085693	66749	23.715428571428575	
112.0	5.0	87.0	45.0	1	175	460	112	5	87	45	112	5	87	45	391	11415	0	16.889461755752563	88000	3005.551683664322	67165	23.676136363636374	
112.0	5.0	87.0	45.0	1	176	460	112	5	87	45	112	5	87	45	393	11494	0	16.889477729797363	88500	3022.4411613941193	67571	23.648587570621473	
112.0	5.0	87.0	45.0	1	177	460	112	5	87	45	112	5	87	45	397	11555	0	17.18631649017334	89000	3039.6274778842926	67995	23.601123595505612	
112.0	5.0	87.0	45.0	1	178	460	112	5	87	45	112	5	87	45	398	11641	0	16.358253479003906	89500	3055.9857313632965	68393	23.58324022346369	
